,index,holgura
0,"(0, 0, 1)",-1e+28
1,"(1, 0, 1)",-1e+28
2,"(2, 0, 1)",-1e+28
3,"(3, 0, 1)",-1e+28
4,"(4, 0, 1)",-1e+28
5,"(5, 0, 1)",-1e+28
6,"(6, 0, 1)",-1e+28
7,"(7, 0, 1)",-1e+28
8,"(8, 0, 1)",-1e+28
9,"(9, 0, 1)",-1e+28
10,"(10, 0, 1)",-1e+28
11,"(11, 0, 1)",-1e+28
12,"(12, 0, 1)",-1e+28
13,"(13, 0, 1)",-1e+28
14,"(14, 0, 1)",-1e+28
15,"(15, 0, 1)",-1e+28
16,"(16, 0, 1)",-1e+28
17,"(17, 0, 1)",-1e+28
18,"(18, 0, 1)",-1e+28
19,"(19, 0, 1)",-1e+28
20,"(20, 0, 1)",-1e+28
21,"(0, 0, 2)",-0.0
22,"(1, 0, 2)",-0.0
23,"(2, 0, 2)",-0.0
24,"(3, 0, 2)",-0.0
25,"(4, 0, 2)",-0.0
26,"(5, 0, 2)",-0.0
27,"(6, 0, 2)",-0.0
28,"(7, 0, 2)",-0.0
29,"(8, 0, 2)",-0.0
30,"(9, 0, 2)",-0.0
31,"(10, 0, 2)",-0.0
32,"(11, 0, 2)",-0.0
33,"(12, 0, 2)",-0.0
34,"(13, 0, 2)",-0.0
35,"(14, 0, 2)",-0.0
36,"(15, 0, 2)",-0.0
37,"(16, 0, 2)",-0.0
38,"(17, 0, 2)",-0.0
39,"(18, 0, 2)",-0.0
40,"(19, 0, 2)",-0.0
41,"(20, 0, 2)",-0.0
42,"(0, 0, 3)",-1e+28
43,"(1, 0, 3)",-1e+28
44,"(2, 0, 3)",-1e+28
45,"(3, 0, 3)",-1e+28
46,"(4, 0, 3)",-1e+28
47,"(5, 0, 3)",-1e+28
48,"(6, 0, 3)",-1e+28
49,"(7, 0, 3)",-1e+28
50,"(8, 0, 3)",-1e+28
51,"(9, 0, 3)",-1e+28
52,"(10, 0, 3)",-1e+28
53,"(11, 0, 3)",-1e+28
54,"(12, 0, 3)",-1e+28
55,"(13, 0, 3)",-1e+28
56,"(14, 0, 3)",-1e+28
57,"(15, 0, 3)",-1e+28
58,"(16, 0, 3)",-1e+28
59,"(17, 0, 3)",-1e+28
60,"(18, 0, 3)",-1e+28
61,"(19, 0, 3)",-1e+28
62,"(20, 0, 3)",-1e+28
63,"(0, 0, 4)",-1e+28
64,"(1, 0, 4)",-1e+28
65,"(2, 0, 4)",-1e+28
66,"(3, 0, 4)",-1e+28
67,"(4, 0, 4)",-1e+28
68,"(5, 0, 4)",-1e+28
69,"(6, 0, 4)",-1e+28
70,"(7, 0, 4)",-1e+28
71,"(8, 0, 4)",-1e+28
72,"(9, 0, 4)",-1e+28
73,"(10, 0, 4)",-1e+28
74,"(11, 0, 4)",-1e+28
75,"(12, 0, 4)",-1e+28
76,"(13, 0, 4)",-1e+28
77,"(14, 0, 4)",-1e+28
78,"(15, 0, 4)",-1e+28
79,"(16, 0, 4)",-1e+28
80,"(17, 0, 4)",-1e+28
81,"(18, 0, 4)",-1e+28
82,"(19, 0, 4)",-1e+28
83,"(20, 0, 4)",-1e+28
84,"(0, 0, 5)",-1e+28
85,"(1, 0, 5)",-1e+28
86,"(2, 0, 5)",-1e+28
87,"(3, 0, 5)",-1e+28
88,"(4, 0, 5)",-1e+28
89,"(5, 0, 5)",-1e+28
90,"(6, 0, 5)",-1e+28
91,"(7, 0, 5)",-1e+28
92,"(8, 0, 5)",-1e+28
93,"(9, 0, 5)",-1e+28
94,"(10, 0, 5)",-1e+28
95,"(11, 0, 5)",-1e+28
96,"(12, 0, 5)",-1e+28
97,"(13, 0, 5)",-1e+28
98,"(14, 0, 5)",-1e+28
99,"(15, 0, 5)",-1e+28
100,"(16, 0, 5)",-1e+28
101,"(17, 0, 5)",-1e+28
102,"(18, 0, 5)",-1e+28
103,"(19, 0, 5)",-1e+28
104,"(20, 0, 5)",-1e+28
105,"(0, 0, 6)",-1e+28
106,"(1, 0, 6)",-1e+28
